Designator,Mid X,Mid Y,Layer,Rotation
C1,152.38743,-58.47393,top,0
C2,178.2132,-107.0348,top,90
C3,185.3,-97.51,top,90
C4,183.08,-98.11,top,90
C5,180.81,-97.57,top,90
C28,146.445,-80.99,top,180
C29,158.845,-81.26,top,180
C30,149.735,-75.59,top,180
C31,162.065,-75.86,top,180
C32,142.3675,-80.78,top,0
C33,154.64,-81.28,top,0
C34,154.64,-82.79,top,0
C35,142.385,-82.25,top,0
C55,118.8212,-86.106,top,90
C57,119.7752,-86.106,top,90
C58,115.797,-99.5732,top,-90
C59,111.8308,-110.7164,top,0
C63,123.5367,-92.7734,top,0
C65,112.98,-120.92,top,180
C67,120.107,-99.5232,top,90
C71,123.5367,-93.7386,top,0
C72,121.967,-99.5132,top,-90
C73,121.037,-99.5132,top,-90
C76,110.04,-93.4982,top,180
C77,110.04,-94.438,top,180
C80,114.67,-83.16,top,-90
C81,114.540534,-104.051424,top,90
C82,117.68,-83.12,top,90
C83,111,-85.19,top,90
C84,116.598524,-104.051414,top,-90
C85,112.594224,-104.051424,top,-90
C86,116.59,-83.14,top,90
C87,109.84,-85.19,top,90
C88,117.588514,-104.051394,top,-90
C89,113.574214,-104.051404,top,-90
C90,112.28,-85.19,top,-90
C91,119.620544,-104.051404,top,90
C99,149.446574,-96.383444,top,180
C100,149.446574,-99.279044,top,0
C105,148.763614,-91.580004,top,180
C106,148.760774,-94.453044,top,0
C108,133.77,-121.62,top,-90
C109,137.76,-121.58,top,-90
C110,135.66,-121.43,top,-90
C111,135.69,-105.54,top,0
C115,166.200604,-94.535594,top,180
C116,166.200604,-92.655994,top,0
C119,152.501574,-87.956794,top,0
C120,152.501574,-88.976194,top,180
C138,141.765654,-103.3526,top,0
C139,128.651,-110.7694,top,180
C141,127.1986,-104.382,top,180
C146,122.03,-79.23,top,180
C147,122.01,-80.51,top,180
C148,126.29,-84.95,top,0
C149,121.29,-76.46,top,90
C150,129.81,-76.58,top,90
CA5,176.763854,-74.965854,top,90
CA6,178.28,-72.52,top,180
CA7,117.78,-117.12,top,0
CA8,114.4073,-113.6778,top,-90
CA9,173.57,-84.68,top,0
CA11,183.06,-80.94,top,180
CY1,118.187,-99.7532,top,0
CY2,136.4442,-107.8545,top,90
D1,178.57,-96.9275,top,90
D2,116.39,-121.63,top,180
D3,114.556,-71.4482,top,0
D4,109.349,-71.4368,top,0
J1,183.725,-107.24,top,90
J2,148.42063,-52.97183,top,180
J3,172.72,-108.966,top,45
J4,118.46,-63.93,top,90
J5,125.86,-127.08,top,90
J6,159.82,-123.5,top,180
J8,109.14,-121.38,top,90
J9,101.0158,-89.9668,top,-90
J10,101.02,-113.24,top,-90
J11,101.0158,-78.3336,top,-90
J12,101.02,-101.59,top,-90
J13,148.125754,-130.42,top,180
L6,123.5567,-94.6832,top,180
L7,154.62,-79.74,top,180
L8,142.3775,-79.32,top,180
L11,118.71,-83.14,top,90
L12,115.556534,-104.051414,top,-90
L13,115.64,-83.17,top,90
L14,118.604554,-104.051404,top,-90
Q3,113.54,-74.42,top,90
Q4,108.5362,-74.3438,top,90
QA1,179.604154,-92.526654,top,90
QA2,183.044154,-92.546654,top,90
QA3,176.124154,-92.576654,top,90
R12,149.735,-76.53,top,180
R13,149.745,-77.48,top,0
R14,162.075,-76.8,top,180
R15,162.075,-77.76,top,0
R29,118.15,-113.85,top,180
R30,113.0275,-122.32,top,0
R31,110.06,-92.5582,top,0
R33,149.466554,-97.348644,top,180
R34,149.466554,-98.339244,top,0
R35,148.780754,-92.522644,top,180
R36,148.780754,-93.487844,top,0
R39,146.55,-106.86,top,0
R44,152.481574,-90.056004,top,0
R45,166.220584,-93.592804,top,0
R51,126.1925,-122.18,top,90
R52,126.1825,-119.57,top,-90
R53,121.2925,-122.27,top,-90
R56,122.07,-81.8,top,0
RA1,183.086604,-79.984594,top,0
RA2,185.43,-93.4,top,90
RA3,169.418,-114.3,top,135
RA4,182.460001,-86.86745,top,90
RA6,108.8955,-113.7794,top,-90
RA7,179.270654,-76.959654,top,0
RA10,182.340004,-78.810004,top,0
RA11,136.03,-116.12,top,0
RA12,125.57,-113.62,top,0
RA13,125.59,-116.17,top,180
RA14,125.58,-117.42,top,0
RA15,136.03,-117.35,top,0
RA16,125.6,-114.83,top,180
RA17,136.03,-114.86,top,180
RA18,136.03,-113.64,top,0
RA19,137.4967,-104.9993,top,-90
RA21,143.97,-103.36,top,0
RA23,130.04,-73.25,top,-90
RA24,127.2942,-97.9614,top,0
RA25,136.8552,-103.4034,top,180
RA26,127.3075,-98.91,top,0
RA27,141.75,-104.284646,top,180
RA28,114.7592,-70.0004,top,0
RA29,109.6792,-69.975,top,0
SW1,135.455,-76.3,top,0
T1,117.13,-77.9575,top,180
T2,111.2375,-81.53,top,90
T3,116.9725,-108.67,top,90
T4,109.01,-104.2475,top,180
U1,170.964796,-112.582019,top,-45
U2,179.53,-86.49,top,90
U7,158.69,-78.74,top,0
U8,146.375,-78.45,top,0
U11,111.7038,-113.3834,top,0
U12,116.897,-92.5132,top,0
U13,177.777654,-80.686254,top,0
U14,137.453054,-93.631654,top,180
U15,130.8354,-115.5192,top,0
U16,128.4986,-107.5944,top,-90
U17,130.23,-121.88,top,0
U18,159.7408,-93.5422,top,180
U19,123.745,-122.145,top,0
U21,126.43,-81.7625,top,0
V1,148.815976,-58.889984,top,90
V2,147.635976,-58.889984,top,90
V3,146.715976,-57.589984,top,0
Y2,179.329254,-74.610254,top,-90
Y3,125.69,-76.87,top,0
C6,168.2575,-73.53,bottom,180
C7,172.132654,-90.822854,bottom,0
C8,181.372654,-96.675746,bottom,-90
C9,172.152654,-97.132854,bottom,180
C10,164.772813,-76.853658,bottom,0
C11,171.96,-78.7,bottom,180
C12,171.9625,-80.194601,bottom,180
C13,168.9536,-81.032801,bottom,90
C14,179.422654,-95.383246,bottom,90
C15,184.219154,-90.103246,bottom,0
C16,184.219154,-88.643246,bottom,0
C17,186.39,-99.7425,bottom,-90
C18,184.219154,-87.137854,bottom,0
